Evaluation_counter,Function_value,Function_ID,Algorithm_ID,Problem_dimension,Run_ID
40,-72.68273360717812,continuous,DE_exp,16,0
60,-72.68273360717812,continuous,DE_exp,16,0
80,-72.68273360717812,continuous,DE_exp,16,0
100,-36.94602588264755,continuous,DE_exp,16,0
120,175.74063008853182,continuous,DE_exp,16,0
140,175.74063008853182,continuous,DE_exp,16,0
160,175.74063008853182,continuous,DE_exp,16,0
180,175.74063008853182,continuous,DE_exp,16,0
200,175.74063008853182,continuous,DE_exp,16,0
220,175.74063008853182,continuous,DE_exp,16,0
240,175.74063008853182,continuous,DE_exp,16,0
260,175.74063008853182,continuous,DE_exp,16,0
280,175.74063008853182,continuous,DE_exp,16,0
300,175.74063008853182,continuous,DE_exp,16,0
320,271.0524773637345,continuous,DE_exp,16,0
340,271.0524773637345,continuous,DE_exp,16,0
360,271.0524773637345,continuous,DE_exp,16,0
380,271.0524773637345,continuous,DE_exp,16,0
400,271.0524773637345,continuous,DE_exp,16,0
420,271.0524773637345,continuous,DE_exp,16,0
440,271.0524773637345,continuous,DE_exp,16,0
460,271.0524773637345,continuous,DE_exp,16,0
480,271.0524773637345,continuous,DE_exp,16,0
500,271.0524773637345,continuous,DE_exp,16,0
520,271.0524773637345,continuous,DE_exp,16,0
540,271.0524773637345,continuous,DE_exp,16,0
560,271.0524773637345,continuous,DE_exp,16,0
580,271.0524773637345,continuous,DE_exp,16,0
600,271.0524773637345,continuous,DE_exp,16,0
620,271.0524773637345,continuous,DE_exp,16,0
640,271.0524773637345,continuous,DE_exp,16,0
660,271.0524773637345,continuous,DE_exp,16,0
680,271.0524773637345,continuous,DE_exp,16,0
700,271.0524773637345,continuous,DE_exp,16,0
720,271.0524773637345,continuous,DE_exp,16,0
740,271.0524773637345,continuous,DE_exp,16,0
760,271.0524773637345,continuous,DE_exp,16,0
780,280.71698970412274,continuous,DE_exp,16,0
800,280.71698970412274,continuous,DE_exp,16,0
820,280.71698970412274,continuous,DE_exp,16,0
840,280.71698970412274,continuous,DE_exp,16,0
860,280.71698970412274,continuous,DE_exp,16,0
880,280.71698970412274,continuous,DE_exp,16,0
900,280.71698970412274,continuous,DE_exp,16,0
