Evaluation_counter,Function_value,Function_ID,Algorithm_ID,Problem_dimension,Run_ID
40,30.61841695291494,discrete,DE_exp,32,0
60,30.61841695291494,discrete,DE_exp,32,0
80,30.61841695291494,discrete,DE_exp,32,0
100,30.61841695291494,discrete,DE_exp,32,0
120,30.61841695291494,discrete,DE_exp,32,0
140,30.61841695291494,discrete,DE_exp,32,0
160,30.61841695291494,discrete,DE_exp,32,0
180,30.61841695291494,discrete,DE_exp,32,0
200,30.61841695291494,discrete,DE_exp,32,0
220,30.61841695291494,discrete,DE_exp,32,0
240,30.61841695291494,discrete,DE_exp,32,0
260,30.61841695291494,discrete,DE_exp,32,0
280,30.61841695291494,discrete,DE_exp,32,0
300,30.61841695291494,discrete,DE_exp,32,0
320,30.61841695291494,discrete,DE_exp,32,0
340,30.61841695291494,discrete,DE_exp,32,0
360,30.61841695291494,discrete,DE_exp,32,0
380,30.61841695291494,discrete,DE_exp,32,0
400,30.61841695291494,discrete,DE_exp,32,0
420,30.61841695291494,discrete,DE_exp,32,0
440,30.61841695291494,discrete,DE_exp,32,0
460,30.61841695291494,discrete,DE_exp,32,0
480,30.61841695291494,discrete,DE_exp,32,0
500,30.61841695291494,discrete,DE_exp,32,0
520,30.61841695291494,discrete,DE_exp,32,0
540,30.61841695291494,discrete,DE_exp,32,0
560,30.61841695291494,discrete,DE_exp,32,0
580,30.61841695291494,discrete,DE_exp,32,0
600,30.61841695291494,discrete,DE_exp,32,0
620,39.27707060313739,discrete,DE_exp,32,0
640,39.27707060313739,discrete,DE_exp,32,0
660,39.27707060313739,discrete,DE_exp,32,0
680,39.27707060313739,discrete,DE_exp,32,0
700,39.27707060313739,discrete,DE_exp,32,0
720,39.27707060313739,discrete,DE_exp,32,0
740,39.27707060313739,discrete,DE_exp,32,0
760,39.27707060313739,discrete,DE_exp,32,0
780,39.27707060313739,discrete,DE_exp,32,0
800,39.27707060313739,discrete,DE_exp,32,0
820,39.27707060313739,discrete,DE_exp,32,0
840,39.27707060313739,discrete,DE_exp,32,0
860,39.27707060313739,discrete,DE_exp,32,0
880,39.27707060313739,discrete,DE_exp,32,0
900,39.27707060313739,discrete,DE_exp,32,0
920,39.27707060313739,discrete,DE_exp,32,0
940,39.27707060313739,discrete,DE_exp,32,0
960,39.27707060313739,discrete,DE_exp,32,0
980,39.27707060313739,discrete,DE_exp,32,0
1000,164.8574613445172,discrete,DE_exp,32,0
40,-99.09113432030429,discrete,DE_exp,32,1
60,-83.5423386266293,discrete,DE_exp,32,1
80,-83.5423386266293,discrete,DE_exp,32,1
100,-66.65524121509242,discrete,DE_exp,32,1
120,-22.125582281969983,discrete,DE_exp,32,1
140,-22.125582281969983,discrete,DE_exp,32,1
160,-22.125582281969983,discrete,DE_exp,32,1
180,-11.528466429458263,discrete,DE_exp,32,1
200,-11.528466429458263,discrete,DE_exp,32,1
220,-11.528466429458263,discrete,DE_exp,32,1
240,-11.528466429458263,discrete,DE_exp,32,1
260,-11.528466429458263,discrete,DE_exp,32,1
280,-11.528466429458263,discrete,DE_exp,32,1
300,-11.528466429458263,discrete,DE_exp,32,1
320,-11.528466429458263,discrete,DE_exp,32,1
340,9.098678490270316,discrete,DE_exp,32,1
360,9.098678490270316,discrete,DE_exp,32,1
380,9.098678490270316,discrete,DE_exp,32,1
400,9.098678490270316,discrete,DE_exp,32,1
420,9.098678490270316,discrete,DE_exp,32,1
440,9.098678490270316,discrete,DE_exp,32,1
460,9.098678490270316,discrete,DE_exp,32,1
480,9.098678490270316,discrete,DE_exp,32,1
500,9.098678490270316,discrete,DE_exp,32,1
520,9.098678490270316,discrete,DE_exp,32,1
540,9.098678490270316,discrete,DE_exp,32,1
560,9.098678490270316,discrete,DE_exp,32,1
580,9.098678490270316,discrete,DE_exp,32,1
600,9.098678490270316,discrete,DE_exp,32,1
620,9.098678490270316,discrete,DE_exp,32,1
640,9.098678490270316,discrete,DE_exp,32,1
660,22.893567318099173,discrete,DE_exp,32,1
680,25.002791370425953,discrete,DE_exp,32,1
700,25.002791370425953,discrete,DE_exp,32,1
720,25.002791370425953,discrete,DE_exp,32,1
740,25.002791370425953,discrete,DE_exp,32,1
760,42.944528246101385,discrete,DE_exp,32,1
780,42.944528246101385,discrete,DE_exp,32,1
800,42.944528246101385,discrete,DE_exp,32,1
820,42.944528246101385,discrete,DE_exp,32,1
840,42.944528246101385,discrete,DE_exp,32,1
860,42.944528246101385,discrete,DE_exp,32,1
880,42.944528246101385,discrete,DE_exp,32,1
900,42.944528246101385,discrete,DE_exp,32,1
920,42.944528246101385,discrete,DE_exp,32,1
940,42.944528246101385,discrete,DE_exp,32,1
960,42.944528246101385,discrete,DE_exp,32,1
980,42.944528246101385,discrete,DE_exp,32,1
1000,42.944528246101385,discrete,DE_exp,32,1
40,12.58698826265973,discrete,DE_exp,32,2
60,12.58698826265973,discrete,DE_exp,32,2
80,12.58698826265973,discrete,DE_exp,32,2
100,15.490995072005433,discrete,DE_exp,32,2
120,15.490995072005433,discrete,DE_exp,32,2
140,15.490995072005433,discrete,DE_exp,32,2
160,46.65952099400212,discrete,DE_exp,32,2
180,46.65952099400212,discrete,DE_exp,32,2
200,46.65952099400212,discrete,DE_exp,32,2
220,46.65952099400212,discrete,DE_exp,32,2
240,46.65952099400212,discrete,DE_exp,32,2
260,217.19468313122218,discrete,DE_exp,32,2
280,217.19468313122218,discrete,DE_exp,32,2
300,217.19468313122218,discrete,DE_exp,32,2
320,217.19468313122218,discrete,DE_exp,32,2
340,217.19468313122218,discrete,DE_exp,32,2
360,217.19468313122218,discrete,DE_exp,32,2
380,217.19468313122218,discrete,DE_exp,32,2
400,217.19468313122218,discrete,DE_exp,32,2
420,217.19468313122218,discrete,DE_exp,32,2
440,217.19468313122218,discrete,DE_exp,32,2
460,217.19468313122218,discrete,DE_exp,32,2
480,217.19468313122218,discrete,DE_exp,32,2
500,217.19468313122218,discrete,DE_exp,32,2
520,217.19468313122218,discrete,DE_exp,32,2
540,217.19468313122218,discrete,DE_exp,32,2
560,217.19468313122218,discrete,DE_exp,32,2
580,217.19468313122218,discrete,DE_exp,32,2
600,217.19468313122218,discrete,DE_exp,32,2
620,217.19468313122218,discrete,DE_exp,32,2
640,217.19468313122218,discrete,DE_exp,32,2
660,217.19468313122218,discrete,DE_exp,32,2
680,217.19468313122218,discrete,DE_exp,32,2
700,264.5755189635728,discrete,DE_exp,32,2
720,264.5755189635728,discrete,DE_exp,32,2
740,264.5755189635728,discrete,DE_exp,32,2
760,264.5755189635728,discrete,DE_exp,32,2
780,264.5755189635728,discrete,DE_exp,32,2
800,264.5755189635728,discrete,DE_exp,32,2
820,264.5755189635728,discrete,DE_exp,32,2
840,264.5755189635728,discrete,DE_exp,32,2
860,264.5755189635728,discrete,DE_exp,32,2
880,264.5755189635728,discrete,DE_exp,32,2
900,264.5755189635728,discrete,DE_exp,32,2
920,264.5755189635728,discrete,DE_exp,32,2
940,264.5755189635728,discrete,DE_exp,32,2
960,264.5755189635728,discrete,DE_exp,32,2
980,264.5755189635728,discrete,DE_exp,32,2
1000,264.5755189635728,discrete,DE_exp,32,2
40,196.6828637865426,discrete,DE_exp,32,3
60,196.6828637865426,discrete,DE_exp,32,3
80,196.6828637865426,discrete,DE_exp,32,3
100,196.6828637865426,discrete,DE_exp,32,3
120,196.6828637865426,discrete,DE_exp,32,3
140,196.6828637865426,discrete,DE_exp,32,3
160,196.6828637865426,discrete,DE_exp,32,3
180,196.6828637865426,discrete,DE_exp,32,3
200,196.6828637865426,discrete,DE_exp,32,3
220,196.6828637865426,discrete,DE_exp,32,3
240,196.6828637865426,discrete,DE_exp,32,3
260,196.6828637865426,discrete,DE_exp,32,3
280,196.6828637865426,discrete,DE_exp,32,3
300,196.6828637865426,discrete,DE_exp,32,3
320,196.6828637865426,discrete,DE_exp,32,3
340,196.6828637865426,discrete,DE_exp,32,3
360,196.6828637865426,discrete,DE_exp,32,3
380,196.6828637865426,discrete,DE_exp,32,3
400,196.6828637865426,discrete,DE_exp,32,3
420,196.6828637865426,discrete,DE_exp,32,3
440,196.6828637865426,discrete,DE_exp,32,3
460,196.6828637865426,discrete,DE_exp,32,3
480,196.6828637865426,discrete,DE_exp,32,3
500,196.6828637865426,discrete,DE_exp,32,3
520,196.6828637865426,discrete,DE_exp,32,3
540,196.6828637865426,discrete,DE_exp,32,3
560,196.6828637865426,discrete,DE_exp,32,3
580,196.6828637865426,discrete,DE_exp,32,3
600,196.6828637865426,discrete,DE_exp,32,3
620,196.6828637865426,discrete,DE_exp,32,3
640,196.6828637865426,discrete,DE_exp,32,3
660,196.6828637865426,discrete,DE_exp,32,3
680,196.6828637865426,discrete,DE_exp,32,3
700,196.6828637865426,discrete,DE_exp,32,3
720,196.6828637865426,discrete,DE_exp,32,3
740,196.6828637865426,discrete,DE_exp,32,3
760,196.6828637865426,discrete,DE_exp,32,3
780,196.6828637865426,discrete,DE_exp,32,3
800,196.6828637865426,discrete,DE_exp,32,3
820,196.6828637865426,discrete,DE_exp,32,3
840,196.6828637865426,discrete,DE_exp,32,3
860,196.6828637865426,discrete,DE_exp,32,3
880,196.6828637865426,discrete,DE_exp,32,3
900,196.6828637865426,discrete,DE_exp,32,3
920,196.6828637865426,discrete,DE_exp,32,3
940,196.6828637865426,discrete,DE_exp,32,3
960,196.6828637865426,discrete,DE_exp,32,3
980,196.6828637865426,discrete,DE_exp,32,3
1000,196.6828637865426,discrete,DE_exp,32,3
40,-86.97114163215404,discrete,DE_exp,32,4
60,-38.513950722780166,discrete,DE_exp,32,4
80,-38.513950722780166,discrete,DE_exp,32,4
100,-38.513950722780166,discrete,DE_exp,32,4
120,-38.513950722780166,discrete,DE_exp,32,4
140,273.2289015213536,discrete,DE_exp,32,4
160,273.2289015213536,discrete,DE_exp,32,4
180,273.2289015213536,discrete,DE_exp,32,4
200,273.2289015213536,discrete,DE_exp,32,4
220,273.2289015213536,discrete,DE_exp,32,4
240,273.2289015213536,discrete,DE_exp,32,4
260,273.2289015213536,discrete,DE_exp,32,4
280,273.2289015213536,discrete,DE_exp,32,4
300,273.2289015213536,discrete,DE_exp,32,4
320,273.2289015213536,discrete,DE_exp,32,4
340,273.2289015213536,discrete,DE_exp,32,4
360,273.2289015213536,discrete,DE_exp,32,4
380,273.2289015213536,discrete,DE_exp,32,4
400,273.2289015213536,discrete,DE_exp,32,4
420,273.2289015213536,discrete,DE_exp,32,4
440,273.2289015213536,discrete,DE_exp,32,4
460,273.2289015213536,discrete,DE_exp,32,4
480,273.2289015213536,discrete,DE_exp,32,4
500,273.2289015213536,discrete,DE_exp,32,4
520,273.2289015213536,discrete,DE_exp,32,4
540,273.2289015213536,discrete,DE_exp,32,4
560,273.2289015213536,discrete,DE_exp,32,4
580,273.2289015213536,discrete,DE_exp,32,4
600,273.2289015213536,discrete,DE_exp,32,4
620,273.2289015213536,discrete,DE_exp,32,4
640,273.2289015213536,discrete,DE_exp,32,4
660,273.2289015213536,discrete,DE_exp,32,4
680,273.2289015213536,discrete,DE_exp,32,4
700,273.2289015213536,discrete,DE_exp,32,4
720,273.2289015213536,discrete,DE_exp,32,4
740,273.2289015213536,discrete,DE_exp,32,4
760,273.2289015213536,discrete,DE_exp,32,4
780,273.2289015213536,discrete,DE_exp,32,4
800,273.2289015213536,discrete,DE_exp,32,4
820,273.2289015213536,discrete,DE_exp,32,4
